timestamp,payer,payee,amount,channel,label,scam_type,label_noise,payee_trust,behaviour_score,amount_log,amount_to_median,amount_to_max,is_new_payee,payee_times_paid,is_saved_contact,is_night,hour_share,txn_count_1h,txn_count_24h,failed_24h,payee_account_age_days,payee_reports,payee_distinct_payers_24h,payee_new_payer_share_7d,payee_collects_7d,payee_is_merchant,sms_scam_prob,sms_recent_scam,channel_qr,channel_collect,collect_note_score,qr_flag,payer_account_age_days
2025-01-01 06:37:57.022985382,1962,100828,202.0,qr,0,none,0,76,0.004621371,5.313205979041787,0.32063492063492066,0.063125,0.0,10.0,0.0,0.0,0.04348,0.0,0.0,0.0,1205.8038832572793,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2248.4989889345434
2025-01-01 10:24:51.966900885,280,100053,157.0,qr,0,none,0,76,0.004581004,5.062595033026967,0.2492063492063492,0.0490625,0.0,3.0,0.0,0.0,0.16264,0.0,0.0,0.0,403.96008753375264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,584.5931847323026
2025-01-01 10:33:23.037291283,401,1496,816.0,send,0,none,0,56,0.004675481,6.705639094860003,1.2952380952380953,0.255,1.0,0.0,0.0,0.0,0.16264,0.0,0.0,0.0,30.21247508664851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.8443692954806
2025-01-01 11:49:24.859762365,505,200326,8875.0,send,1,refund_scam,0,46,0.00491165,9.091106284052485,14.087301587301587,2.7734375,1.0,0.0,0.0,0.0,0.19081,0.0,0.0,0.0,7.2756641951941825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.3020387457434
2025-01-01 12:52:47.661454436,784,100578,195.0,qr,0,none,0,76,0.0044118245,5.278114659230517,0.30952380952380953,0.0609375,0.0,6.0,0.0,0.0,0.1956,0.0,0.0,0.0,2261.594481520068,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1395.2486772104212
2025-01-01 13:43:49.126230070,2429,100035,354.0,qr,0,none,0,76,0.007853459,5.872117789475416,0.5619047619047619,0.110625,0.0,3.0,0.0,0.0,0.17618,0.0,0.0,0.0,1398.2140676068286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.207200328018738
2025-01-01 14:15:45.396381601,1178,2536,328.0,send,0,none,0,70,0.006853225,5.796057750765372,0.5206349206349207,0.1025,0.0,1.0,1.0,0.0,0.15656,0.0,0.0,0.0,419.19701324423005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.88545957592666
2025-01-01 16:07:19.416367038,1083,100110,492.0,send,0,none,0,76,0.008330971,6.20050917404269,0.780952380952381,0.15375,0.0,7.0,1.0,0.0,0.1799,0.0,0.0,2.0,679.6691185000885,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,399.41513198307683
2025-01-01 16:58:00.591447165,2816,100694,400.0,qr,0,none,0,76,0.005237174,5.993961427306569,0.6349206349206349,0.125,0.0,1.0,1.0,0.0,0.1799,0.0,1.0,0.0,618.3523962985282,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,230.08385169059474
2025-01-01 16:59:33.194981009,2585,100335,202.0,qr,0,none,0,76,0.006514878,5.313205979041787,0.32063492063492066,0.063125,1.0,0.0,0.0,0.0,0.1799,0.0,0.0,0.0,2773.2986530410935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.931647287451405
2025-01-01 17:06:23.936766147,1248,100023,6706.0,send,0,none,0,76,0.004793288,8.810907036099737,10.644444444444444,2.095625,0.0,1.0,0.0,0.0,0.20983,0.0,0.0,0.0,715.1541749507344,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2318.1506956746234
2025-01-01 20:13:49.763269080,1400,100672,439.0,qr,0,none,0,70,0.005710795,6.0867747269123065,0.6968253968253968,0.1371875,0.0,1.0,0.0,0.0,0.22398,0.0,1.0,0.0,184.08978216536926,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,159.24615776729453
2025-01-01 21:48:18.415588945,1043,100036,2107.0,qr,0,none,0,76,0.0041390574,7.653494909661253,3.3444444444444446,0.6584375,0.0,3.0,1.0,0.0,0.17665,0.0,1.0,0.0,2717.4815204193033,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2442.1058795022286
2025-01-01 22:49:21.764077997,1712,100601,1466.0,qr,0,none,0,76,0.004226011,7.2909747781429814,2.326984126984127,0.458125,1.0,0.0,0.0,0.0,0.12588,0.0,0.0,0.0,2054.4744834099447,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2275.460454182558
2025-01-02 03:38:08.561695973,381,1395,3716.0,send,0,none,0,70,0.0046000388,8.220672170297252,5.898412698412699,1.16125,0.0,5.0,0.0,1.0,0.01695,0.0,0.0,0.0,1058.857019655677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.37802307415404
